"FIQ_ORDRE";"FIQ_PES";"FIQ_TRA_CODE";"FIQ_DATE_DEPOT";"FIQ_DATE_TRI";"MATERIAUX";"POIDS_VRAC";"POIDS_SAC";"FAMILLE_MATERIAUX"
16850;1510402;"124006";03/02/23;03/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Emballages recyclables en acier";1,71;0;"Emballages métalliques"
16850;1510402;"124006";03/02/23;03/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16850;1510402;"124006";03/02/23;03/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16850;1510402;"124006";03/02/23;03/02/23;"PE PP PS barquettes pots (valo)";1,37;0;"Autres emb recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"PET Foncé, barquettes, pot (valo)";0,02;0;""
16850;1510402;"124006";03/02/23;03/02/23;"ELA";0,81;0;"Emballages papier - carton"
16850;1510402;"124006";03/02/23;03/02/23;"PET transparent incolore et bleuté clair";1,52;0;"Flaconnages recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"PET Clair, barquettes, pot (valo)";0,19;0;"Autres emb recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"Journaux et magazines";9,69;0;"Autres papiers recyclables"
16850;1510402;"124006";03/02/23;03/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"PEHD translucide ou opaque";1,51;0;"Flaconnages recyclables en plastique"
16850;1510402;"124006";03/02/23;03/02/23;"Carton plat et carton ondulé imprimé";8,8;0;"Emballages papier - carton"
16850;1510402;"124006";03/02/23;03/02/23;"PE films valorisables (valo)";0,66;0;"Autres emb recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Journaux et magazines";7,66;0;"Autres papiers recyclables"
16851;1510312;"160010";03/02/23;03/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"autre plastique non valorisable";0,74;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"Objets plastique valorisables (valo)";0,47;0;"Autres emb recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Carton brun";0;0;"Emballages papier - carton"
16851;1510312;"160010";03/02/23;03/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16851;1510312;"160010";03/02/23;03/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"Carton plat et carton ondulé imprimé";16,08;0;"Emballages papier - carton"
16851;1510312;"160010";03/02/23;03/02/23;"Fines alu";0,05;0;"Emballages métalliques"
16851;1510312;"160010";03/02/23;03/02/23;"Emballages recyclables en aluminium";0,05;0;"Emballages métalliques"
16851;1510312;"160010";03/02/23;03/02/23;"PET Clair, barquettes, pot (valo)";0,29;0;"Autres emb recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Emballages recyclables en acier";0,94;0;"Emballages métalliques"
16851;1510312;"160010";03/02/23;03/02/23;"PET autre et PVC";0,23;0;"Flaconnages recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"GM";0,3;0;"Autres papiers recyclables"
16851;1510312;"160010";03/02/23;03/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"PET transparent incolore et bleuté clair";0,37;0;"Flaconnages recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"PE films valorisables (valo)";0,44;0;"Autres emb recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16851;1510312;"160010";03/02/23;03/02/23;"ELA";0,37;0;"Emballages papier - carton"
16851;1510312;"160010";03/02/23;03/02/23;"PET Foncé, barquettes, pot (valo)";0;0;""
16851;1510312;"160010";03/02/23;03/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"PEHD translucide ou opaque";0,43;0;"Flaconnages recyclables en plastique"
16851;1510312;"160010";03/02/23;03/02/23;"PE PP PS barquettes pots (valo)";0,51;0;"Autres emb recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Objets plastique valorisables (valo)";0,05;0;"Autres emb recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Journaux et magazines";5,64;0;"Autres papiers recyclables"
16852;1510669;"115003";07/02/23;07/02/23;"PET Foncé, barquettes, pot (valo)";0,02;0;""
16852;1510669;"115003";07/02/23;07/02/23;"PET Clair, barquettes, pot (valo)";0,3;0;"Autres emb recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"ELA";0,31;0;"Emballages papier - carton"
16852;1510669;"115003";07/02/23;07/02/23;"GM";0,5;0;"Autres papiers recyclables"
16852;1510669;"115003";07/02/23;07/02/23;"PE PP PS barquettes pots (valo)";0,34;0;"Autres emb recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"PE films valorisables (valo)";3,19;0;"Autres emb recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Carton plat et carton ondulé imprimé";6,81;0;"Emballages papier - carton"
16852;1510669;"115003";07/02/23;07/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"autre plastique non valorisable";1,15;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16852;1510669;"115003";07/02/23;07/02/23;"Carton brun";0;0;"Emballages papier - carton"
16852;1510669;"115003";07/02/23;07/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"Fines alu";0,25;0;"Emballages métalliques"
16852;1510669;"115003";07/02/23;07/02/23;"Emballages recyclables en aluminium";0,15;0;"Emballages métalliques"
16852;1510669;"115003";07/02/23;07/02/23;"Non valorisables vrais";18,55;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PEHD translucide ou opaque";0,9;0;"Flaconnages recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Emballages recyclables en acier";0,54;0;"Emballages métalliques"
16852;1510669;"115003";07/02/23;07/02/23;"PET autre et PVC";0,3;0;"Flaconnages recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PET transparent incolore et bleuté clair";0,86;0;"Flaconnages recyclables en plastique"
16852;1510669;"115003";07/02/23;07/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16852;1510669;"115003";07/02/23;07/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"Non valorisables vrais";11,9;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"PE films valorisables (valo)";0,36;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"autre plastique non valorisable";0,79;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"Fines alu";0,18;0;"Emballages métalliques"
16853;1510501;"151005";06/02/23;06/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"PEHD translucide ou opaque";0,57;0;"Flaconnages recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"ELA";0,62;0;"Emballages papier - carton"
16853;1510501;"151005";06/02/23;06/02/23;"PET Clair, barquettes, pot (valo)";0,09;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"PET autre et PVC";0,11;0;"Flaconnages recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"GM";0,67;0;"Autres papiers recyclables"
16853;1510501;"151005";06/02/23;06/02/23;"Carton brun";0;0;"Emballages papier - carton"
16853;1510501;"151005";06/02/23;06/02/23;"Emballages recyclables en acier";0,84;0;"Emballages métalliques"
16853;1510501;"151005";06/02/23;06/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"Emballages recyclables en aluminium";0,11;0;"Emballages métalliques"
16853;1510501;"151005";06/02/23;06/02/23;"Journaux et magazines";4,47;0;"Autres papiers recyclables"
16853;1510501;"151005";06/02/23;06/02/23;"PE PP PS barquettes pots (valo)";0,57;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"Carton plat et carton ondulé imprimé";13,27;0;"Emballages papier - carton"
16853;1510501;"151005";06/02/23;06/02/23;"PET Foncé, barquettes, pot (valo)";0,03;0;""
16853;1510501;"151005";06/02/23;06/02/23;"Objets plastique valorisables (valo)";0,37;0;"Autres emb recyclables en plastique"
16853;1510501;"151005";06/02/23;06/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16853;1510501;"151005";06/02/23;06/02/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16853;1510501;"151005";06/02/23;06/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16861;1511911;"120015";20/02/23;20/02/23;"Carton brun";0;0;"Emballages papier - carton"
16862;1512114;"170004";21/02/23;21/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16863;1512174;"112010";22/02/23;22/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"Fines alu";0,39;0;"Emballages métalliques"
16863;1512174;"112010";22/02/23;22/02/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"Emballages recyclables en acier";1,08;0;"Emballages métalliques"
16863;1512174;"112010";22/02/23;22/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"ELA";0,89;0;"Emballages papier - carton"
16863;1512174;"112010";22/02/23;22/02/23;"Emballages recyclables en aluminium";0,23;0;"Emballages métalliques"
16863;1512174;"112010";22/02/23;22/02/23;"autre plastique non valorisable";2,08;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"GM";1,03;0;"Autres papiers recyclables"
16863;1512174;"112010";22/02/23;22/02/23;"Non valorisables vrais";13,18;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PET transparent incolore et bleuté clair";1,42;0;"Flaconnages recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"Carton plat et carton ondulé imprimé";14,88;0;"Emballages papier - carton"
16863;1512174;"112010";22/02/23;22/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PET Foncé, barquettes, pot (valo)";0,03;0;""
16863;1512174;"112010";22/02/23;22/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PE PP PS barquettes pots (valo)";1,41;0;"Autres emb recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PET Clair, barquettes, pot (valo)";0,46;0;"Autres emb recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"PET autre et PVC";0,65;0;"Flaconnages recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"Carton brun";0;0;"Emballages papier - carton"
16863;1512174;"112010";22/02/23;22/02/23;"Objets plastique valorisables (valo)";0,27;0;"Autres emb recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"Journaux et magazines";7,08;0;"Autres papiers recyclables"
16863;1512174;"112010";22/02/23;22/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"PEHD translucide ou opaque";0,71;0;"Flaconnages recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"PE films valorisables (valo)";0,88;0;"Autres emb recyclables en plastique"
16863;1512174;"112010";22/02/23;22/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16863;1512174;"112010";22/02/23;22/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Emballages recyclables en aluminium";0,21;0;"Emballages métalliques"
16864;1512222;"115008";22/02/23;22/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"PET autre et PVC";0,28;0;"Flaconnages recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"PE films valorisables (valo)";0,59;0;"Autres emb recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"ELA";0,58;0;"Emballages papier - carton"
16864;1512222;"115008";22/02/23;22/02/23;"Fines alu";0,23;0;"Emballages métalliques"
16864;1512222;"115008";22/02/23;22/02/23;"Non valorisables vrais";9,78;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"GM";1,06;0;"Autres papiers recyclables"
16864;1512222;"115008";22/02/23;22/02/23;"PE PP PS barquettes pots (valo)";0,86;0;"Autres emb recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Objets plastique valorisables (valo)";0,13;0;"Autres emb recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"PET Foncé, barquettes, pot (valo)";0,04;0;""
16864;1512222;"115008";22/02/23;22/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16864;1512222;"115008";22/02/23;22/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"PEHD translucide ou opaque";1,35;0;"Flaconnages recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Recyclables souillés";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"PET transparent incolore et bleuté clair";1,19;0;"Flaconnages recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"autre plastique non valorisable";1,56;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"PET Clair, barquettes, pot (valo)";0,49;0;"Autres emb recyclables en plastique"
16864;1512222;"115008";22/02/23;22/02/23;"Journaux et magazines";22,77;0;"Autres papiers recyclables"
16864;1512222;"115008";22/02/23;22/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16864;1512222;"115008";22/02/23;22/02/23;"Carton brun";0;0;"Emballages papier - carton"
16864;1512222;"115008";22/02/23;22/02/23;"Emballages recyclables en acier";0,8;0;"Emballages métalliques"
16865;1512563;"160002";24/02/23;27/02/23;"PET Clair, barquettes, pot (valo)";0,28;0;"Autres emb recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"Emballages recyclables en aluminium";0,76;0;"Emballages métalliques"
16865;1512563;"160002";24/02/23;27/02/23;"Non valorisables vrais";6,7;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"Sacs fermés contenant des OM brutes";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"GM";0,8;0;"Autres papiers recyclables"
16865;1512563;"160002";24/02/23;27/02/23;"PE PP PS autre valorisable barquettes pots";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"Recyclables imbriqués";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"autre plastique non valorisable";2,15;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"Carton brun";0;0;"Emballages papier - carton"
16865;1512563;"160002";24/02/23;27/02/23;"Matériaux hors PTM";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"PE films valorisables (valo)";0,74;0;"Autres emb recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"PET Foncé, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"PET transparent incolore et bleuté clair";1,89;0;"Flaconnages recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"autre plastique valorisable (objets)";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"PE films valorisables";0;0;"Autres emb recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"Emballages recyclables en acier";3,18;0;"Emballages métalliques"
16865;1512563;"160002";24/02/23;27/02/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"ELA";1,15;0;"Emballages papier - carton"
16865;1512563;"160002";24/02/23;27/02/23;"Carton plat et carton ondulé imprimé";13,67;0;"Emballages papier - carton"
16865;1512563;"160002";24/02/23;27/02/23;"Fines alu";0,24;0;"Emballages métalliques"
16865;1512563;"160002";24/02/23;27/02/23;"Journaux et magazines";5,01;0;"Autres papiers recyclables"
16865;1512563;"160002";24/02/23;27/02/23;"Objets plastique valorisables (valo)";0,19;0;"Autres emb recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"PET Foncé, barquettes, pot (valo)";0,11;0;""
16865;1512563;"160002";24/02/23;27/02/23;"PE PP PS barquettes pots (valo)";1,73;0;"Autres emb recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"Eléments fins non triables";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"PEHD translucide ou opaque";1,35;0;"Flaconnages recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"Verre recyclable";0;0;"Materiaux non valorisables"
16865;1512563;"160002";24/02/23;27/02/23;"PET autre et PVC";0,54;0;"Flaconnages recyclables en plastique"
16865;1512563;"160002";24/02/23;27/02/23;"Récurrence carton plats et ondulé imprimé";0;0;"Emballages papier - carton"
16870;1513178;"110005";03/03/23;03/03/23;"Journaux et magazines";3,67;0;"Autres papiers recyclables"
16871;1513349;"120008";06/03/23;06/03/23;"PE films valorisables (valo)";0,55;0;"Autres emb recyclables en plastique"
16871;1513349;"120008";06/03/23;06/03/23;"ELA";0,19;0;"Emballages papier - carton"
16871;1513349;"120008";06/03/23;06/03/23;"Emballages recyclables en acier";0,54;0;"Emballages métalliques"
16871;1513349;"120008";06/03/23;06/03/23;"PET Clair, autre valorisable, barquettes, pot";0;0;"Materiaux non valorisables"
16871;1513349;"120008";06/03/23;06/03/23;"Fines alu";0,05;0;"Emballages métalliques"
